,,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,Abdominal Wall,Head & Neck: Craniofacial,GU: Uterus,Upper Limb: Bilateral,Upper Limb: Unilateral,"Face, Scalp"
,,30 to < 90 Days,,71,49,7,1,5,6,5,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,105,81,15,1,2,2,4,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,139,115,10,2,6,6,3,1,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,242,218,11,3,5,2,3,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,148,136,7,0,1,4,1,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,136,128,4,0,1,3,0,0,0,0,0,0,0,0,0
,,
,,5 or More Years,,77,70,4,0,1,3,0,0,0,0,0,0,0,0,0
,Florida,All Time,,987,842,70,8,23,34,20,1,0,0,0,0,0,0,0
,,< 30 Days,,69,45,12,1,2,8,4,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,71,49,7,1,5,6,5,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,105,81,15,1,2,2,4,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,139,115,10,2,6,6,3,1,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,242,218,11,3,5,2,3,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,148,136,7,0,1,4,1,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,136,128,4,0,1,3,0,0,0,0,0,0,0,0,0
,,5 or More Years,,77,70,4,0,1,3,0,0,0,0,0,0,0,0,0
FLTG-TX1 Tampa General Hospital,All Center States,All Time,,996,835,119,0,17,26,15,0,0,0,0,0,0,0,0
,,< 30 Days,,59,39,10,0,3,2,6,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,74,49,19,0,0,7,3,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,100,71,22,0,1,8,1,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,208,179,23,0,3,3,3,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,269,232,33,0,4,2,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,133,118,11,0,1,4,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,111,105,1,0,4,0,1,0,0,0,0,0,0,0,0
,,5 or More Years,,42,42,0,0,1,0,0,0,0,0,0,0,0,0,0
,Florida,All Time,,996,835,119,0,17,26,15,0,0,0,0,0,0,0,0
,,< 30 Days,,59,39,10,0,3,2,6,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,74,49,19,0,0,7,3,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,100,71,22,0,1,8,1,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,208,179,23,0,3,3,3,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,269,232,33,0,4,2,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,133,118,11,0,1,4,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,111,105,1,0,4,0,1,0,0,0,0,0,0,0,0
,,5 or More Years,,42,42,0,0,1,0,0,0,0,0,0,0,0,0,0
FLUF-TX1 UF Health Shands Hospital,All Center States,All Time,,621,521,33,1,12,65,10,0,0,0,0,0,0,0,0
,,< 30 Days,,43,23,13,0,2,3,5,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,29,16,4,0,0,7,4,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,47,31,6,0,0,9,1,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,90,74,4,0,1,13,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,145,131,1,1,2,13,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,98,90,3,0,4,5,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,112,101,1,0,1,11,0,0,0,0,0,0,0,0,0
,,5 or More Years,,60,55,1,0,2,4,0,0,0,0,0,0,0,0,0
,Florida,All Time,,621,521,33,1,12,65,10,0,0,0,0,0,0,0,0
,,< 30 Days,,43,23,13,0,2,3,5,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,29,16,4,0,0,7,4,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,47,31,6,0,0,9,1,0,0,0,0,0,0,0,0
,,
,,6 Months to < 1 Year,,90,74,4,0,1,13,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,145,131,1,1,2,13,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,98,90,3,0,4,5,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,112,101,1,0,1,11,0,0,0,0,0,0,0,0,0
,,5 or More Years,,60,55,1,0,2,4,0,0,0,0,0,0,0,0,0
GAEH-TX1 Children's Healthcare of Atlanta at Egleston,All Center States,All Time,,56,42,9,0,0,5,0,0,0,0,0,0,0,0,0
,,< 30 Days,,7,3,3,0,0,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,9,8,0,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,16,13,1,0,0,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0
,Georgia,All Time,,56,42,9,0,0,5,0,0,0,0,0,0,0,0,0
,,< 30 Days,,7,3,3,0,0,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,9,8,0,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,16,13,1,0,0,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0
GAEM-TX1 Emory University Hospital,All Center States,All Time,,"2,226","2,022",145,2,10,66,5,0,0,0,0,0,0,0,0
,,< 30 Days,,64,44,13,0,1,8,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,84,67,7,0,0,8,2,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,114,85,21,0,1,10,1,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,156,124,24,0,1,6,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,409,372,30,1,0,10,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,421,396,15,0,2,13,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,558,528,24,1,3,7,0,0,0,0,0,0,0,0,0
,,5 or More Years,,421,406,11,0,2,4,0,0,0,0,0,0,0,0,0
,Georgia,All Time,,"2,226","2,022",145,2,10,66,5,0,0,0,0,0,0,0,0
,,< 30 Days,,64,44,13,0,1,8,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,84,67,7,0,0,8,2,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,114,85,21,0,1,10,1,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,156,124,24,0,1,6,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,409,372,30,1,0,10,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,421,396,15,0,2,13,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,558,528,24,1,3,7,0,0,0,0,0,0,0,0,0
,,5 or More Years,,421,406,11,0,2,4,0,0,0,0,0,0,0,0,0
"GAMC-TX1 AU Medical Center, Inc.",All Center States,All Time,,668,662,0,1,10,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0
,,
,,30 to < 90 Days,,20,19,0,0,1,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,49,48,0,0,2,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,73,72,0,0,1,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,142,141,0,0,1,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,146,146,0,0,3,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,138,137,0,1,1,0,0,0,0,0,0,0,0,0,0
,Georgia,All Time,,668,662,0,1,10,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,20,19,0,0,1,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,49,48,0,0,2,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,73,72,0,0,1,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,142,141,0,0,1,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,146,146,0,0,3,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,138,137,0,1,1,0,0,0,0,0,0,0,0,0,0
GAPH-TX1 Piedmont Hospital,All Center States,All Time,,"1,490","1,302",178,2,15,19,0,0,0,0,0,0,0,0,0
,,< 30 Days,,49,35,11,0,0,3,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,70,54,14,0,0,3,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,134,112,21,1,6,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,200,172,29,0,4,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,309,269,40,1,0,3,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,243,219,18,0,1,6,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,255,229,23,0,2,2,0,0,0,0,0,0,0,0,0
,,5 or More Years,,235,212,22,0,2,1,0,0,0,0,0,0,0,0,0
,Georgia,All Time,,"1,490","1,302",178,2,15,19,0,0,0,0,0,0,0,0,0
,,< 30 Days,,49,35,11,0,0,3,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,70,54,14,0,0,3,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,134,112,21,1,6,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,200,172,29,0,4,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,309,269,40,1,0,3,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,243,219,18,0,1,6,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,255,229,23,0,2,2,0,0,0,0,0,0,0,0,0
,,5 or More Years,,235,212,22,0,2,1,0,0,0,0,0,0,0,0,0
HIQM-TX1 The Queen's Medical Center,All Center States,All Time,,348,326,22,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,29,28,1,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,38,36,2,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,36,34,2,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,64,60,4,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,43,41,2,0,0,0,0,0,0,0,0,0,0,0,0
,,
,,3 Years to < 5 Years,,60,57,3,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,66,61,5,0,0,0,0,0,0,0,0,0,0,0,0
,Hawaii,All Time,,348,326,22,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,29,28,1,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,38,36,2,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,36,34,2,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,64,60,4,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,43,41,2,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,60,57,3,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,66,61,5,0,0,0,0,0,0,0,0,0,0,0,0
IAIM-TX1 Iowa Methodist Medical Center,All Center States,All Time,,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iowa,All Time,,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,All Center States,All Time,,351,274,35,0,10,23,10,0,0,0,0,0,0,0,0
,,< 30 Days,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,38,28,2,0,5,3,1,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,51,34,11,0,2,2,2,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,74,53,17,0,1,2,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,100,87,4,0,2,4,3,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,35,30,0,0,0,3,2,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,30,20,1,0,0,8,1,0,0,0,0,0,0,0,0
,,5 or More Years,,9,8,0,0,0,1,0,0,0,0,0,0,0,0,0
,Iowa,All Time,,351,274,35,0,10,23,10,0,0,0,0,0,0,0,0
,,< 30 Days,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,38,28,2,0,5,3,1,0,0,0,0,0,0,0,0
,,
,,90 Days to < 6 Months,,51,34,11,0,2,2,2,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,74,53,17,0,1,2,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,100,87,4,0,2,4,3,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,35,30,0,0,0,3,2,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,30,20,1,0,0,8,1,0,0,0,0,0,0,0,0
,,5 or More Years,,9,8,0,0,0,1,0,0,0,0,0,0,0,0,0
IAMH-TX1 MercyOne Des Moines Transplant Center,All Center States,All Time,,14,8,0,2,4,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,6,3,0,1,2,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iowa,All Time,,14,8,0,2,4,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,6,3,0,1,2,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
IAVA-TX1 The Iowa City VA Health Care System,All Center States,All Time,,134,134,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iowa,All Time,,134,134,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
ILCH-TX1 Advocate Christ Medical Center,All Center States,All Time,,298,246,0,0,0,55,0,0,0,0,0,0,0,0,0
,,< 30 Days,,9,6,0,0,0,3,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,12,7,0,0,0,5,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,10,9,0,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,41,33,0,0,0,9,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,86,70,0,0,0,16,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,46,33,0,0,0,13,0,0,0,0,0,0,0,0,0
,,
,,3 Years to < 5 Years,,42,36,0,0,0,6,0,0,0,0,0,0,0,0,0
,,5 or More Years,,54,52,0,0,0,2,0,0,0,0,0,0,0,0,0
,Illinois,All Time,,298,246,0,0,0,55,0,0,0,0,0,0,0,0,0
,,< 30 Days,,9,6,0,0,0,3,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,12,7,0,0,0,5,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,10,9,0,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,41,33,0,0,0,9,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,86,70,0,0,0,16,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,46,33,0,0,0,13,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,42,36,0,0,0,6,0,0,0,0,0,0,0,0,0
,,5 or More Years,,54,52,0,0,0,2,0,0,0,0,0,0,0,0,0
ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,All Center States,All Time,,91,46,6,0,0,32,0,0,7,0,0,0,0,0,0
,,< 30 Days,,6,4,1,0,0,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,8,5,1,0,0,1,0,0,1,0,0,0,0,0,0
,,90 Days to < 6 Months,,13,6,2,0,0,5,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,14,7,1,0,0,5,0,0,1,0,0,0,0,0,0
,,1 Year to < 2 Years,,23,13,0,0,0,8,0,0,2,0,0,0,0,0,0
,,2 Years to < 3 Years,,9,2,1,0,0,6,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,12,6,0,0,0,6,0,0,0,0,0,0,0,0,0
,,5 or More Years,,6,3,0,0,0,0,0,0,3,0,0,0,0,0,0
,Illinois,All Time,,91,46,6,0,0,32,0,0,7,0,0,0,0,0,0
,,< 30 Days,,6,4,1,0,0,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,8,5,1,0,0,1,0,0,1,0,0,0,0,0,0
,,90 Days to < 6 Months,,13,6,2,0,0,5,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,14,7,1,0,0,5,0,0,1,0,0,0,0,0,0
,,1 Year to < 2 Years,,23,13,0,0,0,8,0,0,2,0,0,0,0,0,0
,,2 Years to < 3 Years,,9,2,1,0,0,6,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,12,6,0,0,0,6,0,0,0,0,0,0,0,0,0
,,5 or More Years,,6,3,0,0,0,0,0,0,3,0,0,0,0,0,0
ILEH-TX1 Evanston Hospital,All Center States,All Time,,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0
,,5 or More Years,,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0
,Illinois,All Time,,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0
,,5 or More Years,,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0
ILLU-TX1 Loyola University Medical Center,All Center States,All Time,,483,358,50,6,14,29,36,0,0,0,0,0,0,0,0
,,< 30 Days,,40,25,6,2,3,2,5,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,28,16,3,0,1,5,4,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,67,45,5,0,4,4,9,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,64,56,4,1,1,1,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,126,97,8,2,5,6,11,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,78,63,9,1,0,2,4,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,63,45,10,0,0,7,2,0,0,0,0,0,0,0,0
,,
,,5 or More Years,,18,11,5,0,0,2,0,0,0,0,0,0,0,0,0
,Illinois,All Time,,483,358,50,6,14,29,36,0,0,0,0,0,0,0,0
,,< 30 Days,,40,25,6,2,3,2,5,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,28,16,3,0,1,5,4,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,67,45,5,0,4,4,9,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,64,56,4,1,1,1,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,126,97,8,2,5,6,11,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,78,63,9,1,0,2,4,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,63,45,10,0,0,7,2,0,0,0,0,0,0,0,0
,,5 or More Years,,18,11,5,0,0,2,0,0,0,0,0,0,0,0,0
ILMM-TX1 Memorial Medical Center,All Center States,All Time,,91,91,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,Illinois,All Time,,91,91,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ILNM-TX1 Northwestern Memorial Hospital,All Center States,All Time,,"1,011",862,70,13,33,41,5,1,0,0,0,0,0,0,0
,,< 30 Days,,40,28,7,1,2,3,3,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,68,49,10,1,3,6,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,74,55,10,0,7,2,2,1,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,173,149,15,0,6,3,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,190,158,12,6,10,7,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,113,100,3,1,3,7,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,171,162,1,2,0,6,0,0,0,0,0,0,0,0,0
,,5 or More Years,,183,161,12,2,2,7,0,0,0,0,0,0,0,0,0
,Illinois,All Time,,"1,011",862,70,13,33,41,5,1,0,0,0,0,0,0,0
,,< 30 Days,,40,28,7,1,2,3,3,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,68,49,10,1,3,6,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,74,55,10,0,7,2,2,1,0,0,0,0,0,0,0
,,
,,6 Months to < 1 Year,,173,149,15,0,6,3,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,190,158,12,6,10,7,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,113,100,3,1,3,7,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,171,162,1,2,0,6,0,0,0,0,0,0,0,0,0
,,5 or More Years,,183,161,12,2,2,7,0,0,0,0,0,0,0,0,0
ILPL-TX1 Rush University Medical Center,All Center States,All Time,,419,400,19,20,16,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,29,27,4,2,2,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,22,20,1,3,2,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,40,36,3,3,2,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,42,40,1,1,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,113,108,4,8,7,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,64,61,5,3,3,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,44,43,1,0,0,0,0,0,0,0,0,0,0,0,0
,Illinois,All Time,,419,400,19,20,16,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,29,27,4,2,2,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,22,20,1,3,2,0,0,0,0,0,0,0,0,0,0
